Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior MVPs
2020,99.2,Patty Mills,SAS,10,68,72,31,10.8,1.7,2.4,0.6,0.0,1.0,57.0,2.4,105,17.7,7.9,0
2020,99.2,Cameron Oliver,HOU,15,4,72,1,10.8,5.3,1.3,0.5,1.0,0.8,61.9,1.0,0.027999999999999997,17.4,9.5,0
2020,99.2,Ty Jerome,OKC,14,33,72,7,10.7,2.8,3.6,0.6,0.2,1.4,58.5,2.2,0.06,18.1,9.5,0
2020,99.2,Reggie Jackson,LAC,3,67,72,43,10.7,2.9,3.1,0.6,0.1,1.1,57.6,1.8,77,19.5,9.1,0
2020,99.2,Grayson Allen,MEM,9,50,72,26,10.6,3.2,2.2,0.9,0.2,1.0,58.6,2.1,0.07200000000000001,16.4,8.4,0
2020,99.2,Justin Holiday,IND,8,72,72,34,10.5,3.6,1.7,1.0,0.6,0.8,57.1,2.4,85,13.8,6.5,0
2020,99.2,Donte DiVincenzo,MIL,3,66,72,44,10.4,5.8,3.1,1.1,0.2,1.4,54.2,2.0,94,16.3,8.7,0
2020,99.2,Cedi Osman,CLE,13,59,72,17,10.4,3.4,2.9,0.9,0.2,1.4,48.8,1.7,48,19.8,7.3,0
2020,99.2,Mason Plumlee,DET,15,56,72,14,10.4,9.3,3.6,0.8,0.9,1.9,63.8,0.0,0.052000000000000005,16.3,12.9,0
2020,99.2,Brandon Clarke,MEM,9,59,72,32,10.3,5.6,1.6,1.0,0.9,0.6,56.0,0.3,0.08,16.7,11.0,0
2020,99.2,Delon Wright,SAC,11,63,72,21,10.2,4.3,4.4,1.6,0.5,1.3,56.2,1.0,0.07,16.3,11.5,0
2020,99.2,Monte Morris,DEN,3,47,72,30,10.2,2.0,3.2,0.7,0.3,0.7,57.4,1.1,83,16.1,9.2,0
2020,99.2,Elfrid Payton,NYK,4,63,72,36,10.1,3.4,3.2,0.7,0.1,1.6,47.8,0.4,68,22.4,7.9,0
2020,99.2,Theo Maledon,OKC,14,65,72,20,10.1,3.2,3.5,0.9,0.2,2.2,48.9,1.6,57,18.8,6.3,0
2020,99.2,Jeremy Lamb,IND,8,36,72,16,10.1,3.6,1.5,0.9,0.6,0.6,58.7,1.4,46,18.0,9.8,0
2020,99.2,Jae Crowder,PHX,2,60,72,42,10.1,4.7,2.1,0.8,0.5,0.9,57.4,2.5,0.10400000000000001,15.2,8.1,0
2020,99.2,Bryn Forbes,MIL,3,70,72,45,10.0,1.6,0.6,0.3,0.0,0.6,63.1,2.2,0.055999999999999994,18.0,7.6,0
