Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Ike Austin,MIA,2,82,82,61,9.7,5.8,1.2,0.5,0.5,2.0,53.6,0.0,98,22.5,10.6,0,0,0
1996,90.1,Greg Minor,BOS,15,23,82,6,9.6,3.5,1.5,0.7,0.1,1.0,51.9,0.0,0.11900000000000001,18.4,9.5,0,0,0
1996,90.1,Tyrone Corbin,ATL,4,70,82,49,9.5,4.2,1.8,1.3,0.1,1.2,51.4,1.1,174,15.0,7.5,0,0,0
1996,90.1,P.J. Brown,MIA,2,80,82,59,9.5,8.4,1.2,1.1,1.2,1.4,50.5,0.0,172,15.6,9.8,0,0,0
1996,90.1,Stanley Roberts,LAC,8,18,82,7,9.5,5.1,0.5,0.4,1.3,1.3,48.5,0.0,129,23.6,10.6,0,0,0
1996,90.1,Greg Anthony,VAN,14,65,82,9,9.5,2.8,6.3,2.0,0.1,2.0,52.6,1.4,0.054000000000000006,17.4,11.9,0,0,0
1996,90.1,Matt Maloney,HOU,2,82,82,57,9.4,2.0,3.7,1.0,0.0,1.5,58.5,1.9,0.10099999999999999,14.5,8.0,0,0,0
1996,90.1,Sam Mitchell,MIN,6,82,82,40,9.3,4.0,1.0,0.6,0.2,1.1,52.3,0.0,68,17.9,7.2,0,0,0
1996,90.1,Chris Childs,NYK,3,65,82,42,9.3,2.9,6.1,1.2,0.2,2.8,52.6,1.1,159,16.6,9.1,0,0,0
1996,90.1,Mark Bryant,PHX,6,41,82,19,9.3,5.2,1.1,0.5,0.1,1.1,58.9,0.0,0.057999999999999996,16.6,8.6,0,0,0
1996,90.1,Bob Sura,CLE,9,82,82,42,9.2,3.8,4.8,1.1,0.4,2.2,51.9,0.6,0.12,19.3,11.4,0,0,0
1996,90.1,Luc Longley,CHI,1,59,82,49,9.1,5.6,2.4,0.4,1.1,1.9,49.9,0.0,0.10099999999999999,19.5,8.3,0,0,0
1996,90.1,Monty Williams,SAS,13,65,82,17,9.0,3.2,1.4,0.8,0.8,1.8,54.3,0.0,66,22.2,9.1,0,0,0
1996,90.1,Matt Geiger,CHH,5,49,82,34,8.9,5.3,0.8,0.4,0.6,1.4,53.8,0.1,57,21.0,8.6,0,0,0
1996,90.1,Johnny Newman,MIL,11,82,82,33,8.7,2.3,1.4,0.9,0.2,1.4,54.5,0.4,0.07200000000000001,17.3,5.5,0,0,0
1996,90.1,Will Perdue,SAS,13,65,82,16,8.7,9.8,0.6,0.5,1.6,1.3,58.2,0.0,0.04,13.6,10.9,0,0,0
1996,90.1,Armen Gilliam,MIL,11,80,82,33,8.6,6.2,0.7,0.8,0.5,1.3,54.3,0.0,64,16.7,9.5,0,0,0
1996,90.1,Derek Strong,ORL,7,82,82,45,8.5,6.3,0.9,0.6,0.2,1.2,51.3,0.0,91,17.9,10.1,0,0,0
1996,90.1,Mark Davis,PHI,14,75,82,20,8.5,4.3,1.8,1.1,0.4,1.6,52.5,0.3,34,17.4,7.7,0,0,0
1996,90.1,George Lynch,VAN,14,41,82,8,8.3,6.4,1.9,1.5,0.4,1.6,51.2,0.2,71,17.3,10.7,0,0,0
1996,90.1,James Robinson,MIN,6,69,82,33,8.3,1.6,1.8,0.4,0.1,1.0,53.7,1.5,33,20.2,7.4,0,0,0
1996,90.1,Terry Cummings,SEA,2,45,82,31,8.2,4.1,0.9,0.7,0.2,1.0,52.1,0.1,45,22.8,9.6,0,0,0
1996,90.1,Khalid Reeves,DAL,11,63,82,19,8.2,1.9,3.6,0.5,0.1,1.7,50.8,1.3,46,18.8,7.0,0,0,0
1996,90.1,Eddie Johnson,HOU,2,52,82,32,8.2,2.7,1.0,0.3,0.0,0.9,54.1,0.9,0.07200000000000001,21.2,9.2,0,0,0
1996,90.1,Steve Kerr,CHI,1,82,82,69,8.1,1.6,2.1,0.8,0.0,0.5,66.7,1.3,99,12.7,10.7,0,0,0
1996,90.1,Muggsy Bogues,CHH,5,65,82,46,8.0,2.2,7.2,1.3,0.0,1.7,55.4,0.9,68,14.8,11.2,0,0,0
1996,90.1,Derrick McKey,IND,10,50,82,24,8.0,4.8,2.7,0.9,0.6,1.7,46.2,0.3,105,16.6,7.4,0,0,0
1996,90.1,Dean Garrett,MIN,6,68,82,30,8.0,7.3,0.6,0.6,1.4,0.5,60.3,0.0,68,13.2,12.2,0,0,0
1996,90.1,Carl Herrera,SAS,13,75,82,17,8.0,4.5,0.7,0.8,0.7,1.3,46.3,0.0,0.04,18.7,5.8,0,0,0
1996,90.1,Hot Rod Williams,PHX,6,68,82,40,8.0,8.3,1.5,1.0,1.3,1.0,53.8,0.0,83,12.0,9.0,0,0,0
1996,90.1,B.J. Armstrong,GSW,10,49,82,19,7.9,1.5,2.6,0.5,0.0,1.1,53.8,0.5,23,18.1,9.2,0,0,0
1996,90.1,Blue Edwards,VAN,14,61,82,9,7.8,3.1,1.9,0.6,0.3,1.3,47.2,0.4,35,19.0,6.4,0,0,0
