Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,Prior MVPs
2020,99.2,Josh Jackson,DET,15,62,72,16,13.4,4.1,2.3,0.9,0.8,2.3,15.0,1.01,1.2,-2.0,104.9,108.3,0.09300000000000001,47.3,51.6,25.4,8.0,0
2020,99.2,Danilo Gallinari,ATL,4,51,72,29,13.3,4.1,1.5,0.6,0.2,0.8,9.9,1.77,2.0,1.8,113.0,110.3,0.07200000000000001,54.2,61.3,21.1,11.2,0
2020,99.2,Duncan Robinson,MIA,6,72,72,40,13.1,3.5,1.8,0.6,0.3,1.1,8.2,1.57,3.5,1.6,110.6,108.3,113,61.4,62.8,16.2,7.5,0
2020,99.2,Marcus Smart,BOS,7,48,72,24,13.1,3.5,5.7,1.5,0.5,2.0,22.7,2.84,1.9,1.9,114.2,111.3,91,48.9,53.9,17.9,8.5,0
2020,99.2,Tyrese Haliburton,SAC,11,58,72,25,13.0,3.0,5.3,1.3,0.5,1.6,24.7,3.36,2.1,-3.1,110.8,116.4,38,56.9,58.5,17.5,10.4,0
2020,99.2,Shake Milton,PHI,1,63,72,46,13.0,2.3,3.1,0.6,0.3,1.6,21.0,1.87,1.1,2.1,109.3,105.0,107,50.3,54.9,23.9,10.1,0
2020,99.2,Markelle Fultz,ORL,14,8,72,6,12.9,3.1,5.4,1.0,0.3,2.3,29.3,2.39,0.5,-3.6,107.1,113.6,57,41.3,45.8,25.0,8.1,0
2020,99.2,P.J. Washington,CHA,10,64,72,31,12.9,6.5,2.5,1.1,1.2,2.0,12.0,1.26,1.8,0.5,110.4,109.8,98,52.2,54.9,19.1,8.9,0
2020,99.2,Cole Anthony,ORL,14,47,72,13,12.9,4.7,4.1,0.6,0.4,2.3,24.1,1.81,1.2,-6.9,103.5,116.3,35,44.9,49.6,23.5,9.1,0
2020,99.2,Kyle Kuzma,LAL,5,68,72,40,12.9,6.1,1.9,0.5,0.6,1.7,10.0,1.12,2.0,0.0,104.8,105.4,128,53.3,54.6,19.8,9.7,0
2020,99.2,Jarrett Allen,CLE,13,63,72,20,12.8,10.0,1.7,0.5,1.4,1.6,8.7,1.06,0.1,-3.2,108.3,113.9,0.059000000000000004,62.4,66.1,16.3,13.8,0
2020,99.2,Keldon Johnson,SAS,10,69,72,32,12.8,6.0,1.8,0.6,0.3,1.1,8.7,1.55,0.9,-2.5,110.0,113.8,57,52.2,55.7,18.9,9.1,0
2020,99.2,Miles Bridges,CHA,10,66,72,31,12.7,6.0,2.2,0.7,0.8,1.6,11.3,1.39,1.8,-0.1,110.4,110.1,92,59.6,62.5,17.0,10.3,0
2020,99.2,Alec Burks,NYK,4,49,72,27,12.7,4.6,2.2,0.6,0.3,1.0,13.5,2.18,2.1,2.6,109.6,104.6,0.12,52.2,56.4,20.8,11.5,0
2020,99.2,Will Barton,DEN,3,56,72,37,12.7,4.0,3.2,0.9,0.4,1.7,13.5,1.89,1.8,4.1,118.4,112.4,0.07400000000000001,50.7,53.8,18.7,7.6,0
2020,99.2,Jalen Brunson,DAL,5,68,72,40,12.6,3.4,3.5,0.5,0.0,1.2,21.5,2.99,1.2,2.4,113.7,108.7,87,58.8,61.8,19.6,12.3,0
2020,99.2,Myles Turner,IND,8,47,72,22,12.6,6.5,1.0,0.9,3.4,1.4,4.7,0.72,1.5,0.5,109.2,107.9,113,55.7,59.9,16.7,9.0,0
2020,99.2,Seth Curry,PHI,1,57,72,39,12.5,2.4,2.7,0.8,0.1,1.1,13.1,2.38,2.2,5.6,114.7,106.5,0.11800000000000001,58.2,60.7,16.9,8.4,0
2020,99.2,Kyle Anderson,MEM,9,69,72,36,12.4,5.7,3.6,1.2,0.8,1.2,18.2,2.91,1.4,0.7,110.3,108.7,0.09699999999999999,54.0,57.8,18.1,12.1,0
2020,99.2,Aaron Gordon,DEN,3,50,72,29,12.4,5.7,3.2,0.7,0.7,1.9,16.5,1.66,1.2,1.2,112.5,110.4,84,52.2,54.7,20.4,9.5,0
2020,99.2,Brook Lopez,MIL,3,70,72,46,12.3,5.0,0.7,0.6,1.5,0.9,3.3,0.78,1.4,4.5,117.0,110.2,83,57.7,61.1,16.6,8.5,0
